Nº,NOMBRE,ALT,PES,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,POS
72,Kevin Larsen,208.3,112,"0,566","0,496",129.3,14.2,15.8,15.0,9.4,12.1,1.7,2.2,25.0,-2.9,1.4,115.9,105.2,10.7,126.4,21.9,5
73,Sergio Llorente,185.4,79,"0,529","0,505",166.4,0.4,10.9,6.2,33.5,15.1,1.8,0.6,19.8,6.2,1.1,109.8,102.4,7.3,98.1,15.3,1
74,Alvaro Lobo,190.5,85,"0,476","0,433",141.9,0.8,7.0,3.9,14.8,13.8,2.3,0.0,25.2,-2.4,1.1,92.0,105.4,-13.4,39.5,10.7,2
75,Javier Lucas,203.2,90,"0,510","0,478",136.0,6.8,27.4,16.8,10.6,11.9,2.0,5.0,17.3,-0.4,1.2,104.7,99.6,5.1,128.6,17.3,5
76,Alo Marin,190.5,79,"0,549","0,513",169.5,5.8,9.3,7.6,18.1,18.6,2.2,0.8,20.4,-1.9,1.2,107.5,104.4,3.1,56.1,14.1,2
77,Gerbert Marti,200.7,93,"0,430","0,417",138.3,4.3,13.4,8.6,9.1,20.0,2.7,5.2,16.6,-3.5,0.9,82.5,110.6,-28.1,48.6,8.6,4
78,Edu Martinez,198.1,98,"0,415","0,398",156.8,3.3,10.7,6.9,6.9,9.5,1.2,0.0,15.1,0.0,0.8,91.8,107.0,-15.2,28.4,5.2,3
79,Sergi Martinez,200.7,100,"0,486","0,449",136.8,6.8,14.0,10.4,10.0,13.0,1.4,0.6,19.1,-1.8,1.1,101.3,106.1,-4.8,105.4,12.1,3
80,Osvaldas Matulionis,198.1,100,"0,478","0,465",145.2,4.3,9.9,7.0,6.7,9.9,2.7,0.8,15.3,-0.3,1.0,102.6,102.9,-0.3,40.9,9.6,3
81,Papa Mbaye,208.3,104,"0,605","0,537",133.3,8.2,14.5,11.1,7.0,11.4,1.8,3.9,18.0,-1.8,1.5,122.4,101.9,20.5,109.1,19.4,5
82,Andres Miso,198.1,88,"0,488","0,467",142.4,4.7,9.4,7.0,14.5,18.1,1.8,0.4,14.8,0.5,1.0,101.1,109.7,-8.5,48.0,9.4,2
83,Mikel Motos,193.0,85,"0,349","0,329",94.5,2.4,17.5,10.0,16.2,14.4,2.1,1.5,17.8,1.5,0.8,82.0,106.3,-24.3,39.0,6.8,2
84,Rauno Nurger,208.3,105,"0,593","0,567",149.3,8.5,23.1,16.3,4.9,13.6,0.7,3.5,21.0,-4.1,1.3,109.5,99.0,10.6,156.6,18.1,5
85,Matti Nuutinen,200.7,95,"0,538","0,527",162.2,5.1,16.5,11.2,10.8,13.5,1.7,0.0,19.3,-1.5,1.1,104.5,100.3,4.2,53.4,12.8,4
86,Kingsley Okoroh,215.9,121,"0,546","0,539",116.4,19.7,21.8,20.7,8.1,18.5,1.1,4.8,15.2,-2.9,1.1,113.5,110.0,3.5,134.2,18.1,5
87,Sergio Olmos,213.4,100,"0,563","0,564",105.3,11.9,13.2,12.6,7.0,16.4,1.4,2.0,27.8,-7.8,1.3,103.4,103.4,-0.0,71.9,17.5,5
88,Pep Ortega,198.1,100,"0,513","0,454",148.6,8.3,16.0,11.8,13.4,16.0,1.8,1.2,22.5,-2.8,1.2,101.8,115.1,-13.3,113.1,15.4,4
89,Urko Otegui,200.7,105,"0,500","0,433",147.6,5.5,22.6,14.4,13.2,16.4,2.8,1.7,24.6,-2.8,1.1,99.6,104.3,-4.8,128.2,16.3,4
90,Alfredo Ott,188.0,84,"0,501","0,486",139.2,2.4,6.5,4.5,16.0,11.3,2.4,0.4,16.7,2.1,1.1,106.5,105.0,1.6,91.5,11.6,2
91,Joan Pardina,203.2,86,"0,530","0,500",139.2,9.0,16.4,12.8,10.3,15.9,1.7,0.3,16.8,-1.9,1.2,,,,,,3
92,Luis Parejo,193.0,98,"0,543","0,521",170.4,3.8,13.5,8.7,9.2,14.4,3.6,0.2,17.7,-1.9,1.1,,,,,,2
93,Joel Parra,203.2,95,"0,548","0,523",156.5,9.7,13.1,11.3,4.6,12.2,1.8,0.5,22.4,-4.2,1.2,,,,,,3
94,Josep Perez,185.4,73,"0,528","0,455",144.9,3.8,10.5,7.2,20.8,15.3,2.7,0.0,21.9,0.4,1.3,,,,,,1
95,Victor Perez,198.1,98,"0,441","0,402",139.0,1.9,6.8,4.6,11.5,12.1,1.1,0.0,15.1,1.0,1.0,,,,,,2
96,Jean Pierre-Charles,203.2,86,"0,598","0,596",141.0,8.8,19.0,13.6,4.8,17.4,1.0,1.1,10.6,-2.0,1.2,,,,,,3
97,Sergi Pino,195.6,88,"0,521","0,497",156.7,2.0,11.5,6.8,20.7,11.8,2.7,0.3,23.4,2.1,1.1,,,,,,3
98,Erik Quintela,185.4,74,"0,609","0,554",190.5,8.8,11.3,10.0,16.6,19.0,3.9,0.4,20.5,-1.7,1.4,,,,,,1
99,Sergi Quintela,182.9,76,"0,510","0,468",149.6,2.3,12.0,6.8,21.7,17.4,3.4,0.0,19.9,0.8,1.1,,,,,,2
100,Nikola Rakocevic,193.0,87,"0,579","0,542",167.6,0.9,10.0,5.5,13.5,11.7,1.3,0.0,21.8,-0.8,1.3,,,,,,2
101,Tyler Rawson,208.3,102,"0,519","0,506",135.6,2.2,13.7,7.9,11.0,13.2,2.6,2.3,23.0,-2.9,1.1,,,,,,3
102,Junior Robinson,165.1,68,"0,523","0,463",160.4,1.1,8.3,4.5,27.8,13.9,2.5,0.3,33.0,-0.7,1.2,,,,,,1
103,Sergio Rodriguez Febles,200.7,92,"0,517","0,470",161.7,6.5,16.3,11.4,10.1,16.1,2.4,0.3,19.7,-2.9,1.2,,,,,,3
104,Dani Rodriguez,177.8,68,"0,562","0,500",163.2,1.8,9.3,5.8,23.7,15.7,2.9,0.0,22.3,2.6,1.3,,,,,,1
105,Manuel Rodriguez,190.5,82,"0,430","0,410",148.1,3.6,7.8,5.7,11.1,11.2,1.8,0.7,18.1,-0.1,0.9,,,,,,2
106,Davis Rozitis,213.4,109,"0,647","0,622",133.3,15.8,27.7,21.8,6.6,14.1,1.7,6.0,20.5,-3.9,1.5,,,,,,5
107,Marc Rubin De Celis,188.0,86,"0,414","0,382",145.4,4.2,5.8,5.0,20.7,16.8,2.1,0.3,15.9,2.5,0.9,,,,,,1
108,Guille Rubio,203.2,106,"0,579","0,461",154.0,10.7,24.8,17.9,8.6,18.7,0.8,0.0,22.7,-6.0,1.5,,,,,,3
109,Ty Sabin,188.0,86,"0,578","0,562",170.1,1.5,5.5,3.5,11.7,5.9,1.1,0.2,20.0,2.0,1.2,,,,,,1
110,Tautvydas Sabonis,203.2,92,"0,546","0,495",167.9,7.7,18.1,12.7,19.9,19.5,1.6,0.3,20.0,-1.3,1.2,,,,,,4
111,Javi Salgado,180.3,82,"0,516","0,464",155.9,0.9,10.0,5.3,44.0,19.1,2.1,0.0,22.2,9.0,1.1,,,,,,1
112,Agusti Sans,193.0,82,"0,562","0,538",172.7,1.1,12.5,7.2,23.3,17.4,2.6,0.7,16.5,3.1,1.2,,,,,,1
113,Jorge Sanz,188.0,77,"0,608","0,594",147.6,4.4,15.9,10.3,20.7,21.4,2.4,0.2,12.4,4.0,1.4,,,,,,1
114,Thomas Schreiner,195.6,88,"0,497","0,454",140.4,1.9,14.9,8.2,35.3,15.4,3.6,0.0,18.5,8.8,1.1,,,,,,1
115,Wesley Sena,210.8,104,"0,486","0,456",126.9,10.4,14.9,12.5,2.3,10.8,1.1,2.4,19.6,-3.6,1.1,,,,,,5
116,Victor Serrano,213.4,109,"0,546","0,530",179.1,9.2,17.7,13.5,3.3,12.7,0.9,2.2,22.7,-4.9,1.1,,,,,,5
117,Danilo Siqueira,193.0,80,"0,460","0,417",127.9,3.4,6.4,4.9,15.6,19.6,3.3,0.5,25.9,-5.1,1.1,,,,,,1
118,Matt Stainbrook,208.3,122,"0,621","0,564",138.4,12.2,18.9,15.8,15.3,15.9,2.1,0.7,19.7,-0.3,1.5,,,,,,5
119,Quinton Stephens,205.7,89,"0,545","0,524",190.5,8.4,21.5,15.0,13.3,12.6,2.4,2.0,24.3,-1.6,1.1,,,,,,3
120,Eric Stutz,203.2,102,"0,579","0,551",154.9,10.2,23.7,16.5,8.2,11.6,1.5,3.6,19.1,-1.8,1.3,,,,,,3
121,Artem Tavakalyan,198.1,95,"0,454","0,455",103.3,3.9,12.3,7.9,5.9,9.8,2.2,0.9,21.6,-2.3,0.9,,,,,,3
122,Joan Tomas,200.7,82,"0,483","0,474",145.5,3.5,11.1,7.4,11.2,9.1,1.3,0.8,16.8,1.3,1.0,,,,,,3
123,Robert Turner,190.5,82,"0,486","0,477",125.2,3.0,8.2,5.4,18.2,17.0,1.2,0.5,25.7,-3.3,1.0,,,,,,1
124,Michael Uchendu,205.7,100,"0,583","0,548",119.4,17.8,18.6,18.2,1.9,16.8,0.9,3.7,18.4,-5.7,1.4,,,,,,5
125,Federico Ucles,205.7,98,"0,525","0,467",146.0,8.3,19.1,13.8,6.1,9.1,1.8,0.0,21.3,-1.7,1.2,,,,,,4
126,Txemi Urtasun,193.0,84,"0,552","0,505",162.1,2.0,11.2,6.8,21.3,13.7,2.3,0.0,27.1,-0.8,1.3,,,,,,2
127,Kevin Van Wijk,203.2,104,"0,478","0,436",121.7,3.7,14.6,9.2,6.4,14.4,2.3,1.5,15.2,-2.0,1.1,,,,,,4
128,Joey van Zegeren,208.3,101,"0,559","0,571",100.9,15.7,25.7,21.2,5.4,12.5,1.3,7.4,22.3,-3.7,1.3,,,,,,4
129,Steve Vasturia,195.6,96,"0,653","0,608",185.8,4.7,17.1,11.0,16.8,15.6,1.8,0.2,25.0,-1.6,1.5,,,,,,1
130,Santiago Vidal,180.3,75,"0,461","0,451",127.4,2.1,15.8,9.0,37.5,26.3,3.0,0.3,20.1,3.4,1.0,,,,,,1
131,Nick Washburn,208.3,118,"0,555","0,528",163.8,6.2,19.0,12.4,6.9,12.2,1.2,1.7,25.0,-4.2,1.2,,,,,,5
132,Leon Williams,177.8,75,"0,383","0,371",120.6,1.8,7.4,4.5,20.7,18.0,3.0,0.0,17.5,1.4,0.8,,,,,,1
133,Arturs Zagars,177.8,78,"0,465","0,424",141.7,1.8,8.8,5.4,31.5,21.5,0.0,0.0,31.5,-2.8,1.0,,,,,,1
134,Jhornan Zamora,195.6,93,"0,557","0,541",156.6,2.6,10.1,6.3,15.5,10.9,2.8,0.5,28.3,-1.6,1.2,,,,,,2
135,Gediminas Zyle,208.3,92,"0,475","0,445",129.4,7.0,16.3,11.9,9.2,13.7,0.7,2.0,20.0,-2.4,1.0,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,
