0/#,0/Player,0/Status,0/Pos,0/Min,0/FGM-A,0/3PM-A,0/FTM-A,0/FIC,0/Off,0/Def,0/Reb,0/Ast,0/PF,0/STL,0/TO,0/BLK,0/PTS,1/#,1/Player,1/Status,1/Pos,1/Min,1/FGM-A,1/3PM-A,1/FTM-A,1/FIC,1/Off,1/Def,1/Reb,1/Ast,1/PF,1/STL,1/TO,1/BLK,1/PTS,2/#,2/Player,2/Status,2/Pos,2/Min,2/FGM-A,2/3PM-A,2/FTM-A,2/FIC,2/Off,2/Def,2/Reb,2/Ast,2/PF,2/STL,2/TO,2/BLK,2/PTS,3/#,3/Player,3/Status,3/Pos,3/Min,3/FGM-A,3/3PM-A,3/FTM-A,3/FIC,3/Off,3/Def,3/Reb,3/Ast,3/PF,3/STL,3/TO,3/BLK,3/PTS,4/#,4/Player,4/Status,4/Pos,4/Min,4/FGM-A,4/3PM-A,4/FTM-A,4/FIC,4/Off,4/Def,4/Reb,4/Ast,4/PF,4/STL,4/TO,4/BLK,4/PTS,5/#,5/Player,5/Status,5/Pos,5/Min,5/FGM-A,5/3PM-A,5/FTM-A,5/FIC,5/Off,5/Def,5/Reb,5/Ast,5/PF,5/STL,5/TO,5/BLK,5/PTS,6/#,6/Player,6/Status,6/Pos,6/Min,6/FGM-A,6/3PM-A,6/FTM-A,6/FIC,6/Off,6/Def,6/Reb,6/Ast,6/PF,6/STL,6/TO,6/BLK,6/PTS,7/#,7/Player,7/Status,7/Pos,7/Min,7/FGM-A,7/3PM-A,7/FTM-A,7/FIC,7/Off,7/Def,7/Reb,7/Ast,7/PF,7/STL,7/TO,7/BLK,7/PTS,8/#,8/Player,8/Status,8/Pos,8/Min,8/FGM-A,8/3PM-A,8/FTM-A,8/FIC,8/Off,8/Def,8/Reb,8/Ast,8/PF,8/STL,8/TO,8/BLK,8/PTS,9/#,9/Player,9/Status,9/Pos,9/Min,9/FGM-A,9/3PM-A,9/FTM-A,9/FIC,9/Off,9/Def,9/Reb,9/Ast,9/PF,9/STL,9/TO,9/BLK,9/PTS,10/#,10/Player,10/Status,10/Pos,10/Min,10/FGM-A,10/3PM-A,10/FTM-A,10/FIC,10/Off,10/Def,10/Reb,10/Ast,10/PF,10/STL,10/TO,10/BLK,10/PTS,11/#,11/Player,11/Status,11/Pos,11/Min,11/FGM-A,11/3PM-A,11/FTM-A,11/FIC,11/Off,11/Def,11/Reb,11/Ast,11/PF,11/STL,11/TO,11/BLK,11/PTS,12/#,12/Player,12/Status,12/Pos,12/Min,12/FGM-A,12/3PM-A,12/FTM-A,12/FIC,12/Off,12/Def,12/Reb,12/Ast,12/PF,12/STL,12/TO,12/BLK,12/PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,PF,25:08,2-4,1-3,0-0,7.2,0.0,5,5,1,1,1,0,0,5,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,20:13,3-5,2-4,0-0,6.8,1.0,0,1,3,3,0,0,0,8,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,26:40,5-10,0-1,2-2,3.5,0.0,5,5,0,4,0,3,1,12,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,SG,19:47,1-4,1-3,0-0,7.0,1.0,2,3,7,3,1,2,0,3,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SF,37:05,6-11,2-5,1-1,9.4,1.0,4,5,1,2,0,1,0,15,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,07:03,1-4,1-4,0-0,-0.5,0.0,0,0,0,1,0,0,0,3,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,07:06,0-2,0-2,0-0,-1.0,1.0,0,1,0,1,0,0,0,0,9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,17:33,3-6,1-3,0-0,3.8,0.0,1,1,1,3,4,3,0,7,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,17:22,4-8,0-0,0-0,3.5,2.0,2,4,0,4,0,0,0,8,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,18:25,3-8,2-6,0-0,5.5,0.0,4,4,0,1,1,0,0,8,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,03:38,2-4,0-0,0-0,1.5,1.0,0,1,1,1,0,1,0,4,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,2,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
11,"<a href=""/player/Paco-Cruz/Summary/22354"">Paco Cruz</a>",Starter,SG,22:58,0-3,0-1,2-2,1.0,0.0,6,6,4,1,0,6,0,2,31,"<a href=""/player/Christian-Eyenga/Summary/1661"">Christian Eyenga</a>",Starter,SF,28:52,2-10,0-3,1-2,-0.2,0.0,4,4,2,2,0,2,1,5,4,"<a href=""/player/Ian-OLeary/Summary/8541"">Ian O'Leary</a>",Starter,PF,25:33,3-6,0-1,0-2,3.8,0.0,4,4,0,2,1,1,1,6,2,"<a href=""/player/Marko-Popovic/Summary/2445"">Marko Popovic</a>",Starter,PG,23:47,5-11,3-9,4-4,7.8,1.0,2,3,0,2,0,1,0,17,,"<a href=""/player/Rolands-Smits/Summary/27874"">Rolands Smits</a>",Starter,C,17:32,2-4,1-2,4-4,7.0,0.0,2,2,0,0,1,0,0,9,15,"<a href=""/player/Chema-Gonzalez/Summary/39753"">Chema Gonzalez</a>",Bench,C,06:29,2-2,0-0,0-0,6.0,1.0,2,3,0,0,1,0,0,4,8,"<a href=""/player/Alex-Llorca/Summary/26130"">Alex Llorca</a>",Bench,SG,05:43,0-2,0-1,4-4,3.2,0.0,3,3,0,0,0,0,0,4,0,"<a href=""/player/Gabriel-Olaseni/Summary/28758"">Gabriel Olaseni</a>",Bench,C,11:20,0-0,0-0,0-0,-1.5,0.0,0,0,0,1,0,1,0,0,5,"<a href=""/player/Luka-Rupnik/Summary/26562"">Luka Rupnik</a>",Bench,PG,16:36,1-5,1-5,2-2,4.0,1.0,0,1,4,1,0,1,0,5,9,"<a href=""/player/Blagota-Sekulic/Summary/2735"">Blagota Sekulic</a>",Bench,PF,21:00,4-4,1-1,0-0,8.2,0.0,3,3,0,2,0,1,2,9,16,"<a href=""/player/Gregory-Vargas/Summary/41079"">Gregory Vargas</a>",Bench,PG,20:10,2-4,0-1,0-0,5.5,3.0,2,5,0,4,3,1,0,4,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,25:00,1-1,1-1,3-6,4.2,0.0,5,5,0,3,0,1,0,6,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,23:51,0-7,0-3,5-6,3.2,0.0,5,5,5,2,2,4,0,5,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,25:05,3-6,0-0,2-4,10.0,1.0,8,9,0,2,2,2,2,8,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,SF,26:31,3-7,0-2,1-1,2.1,2.0,5,7,0,4,1,4,0,7,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,28:44,6-11,2-3,3-3,8.4,1.0,3,4,1,1,0,3,0,17,22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,21:13,3-8,1-4,1-2,1.0,1.0,1,2,0,2,0,1,0,8,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,11:58,3-6,1-3,0-0,2.0,0.0,2,2,0,4,0,0,0,7,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,18:05,1-4,0-2,2-2,3.8,1.0,2,3,1,0,0,0,0,4,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,16:07,0-5,0-4,0-0,-1.2,0.0,2,2,3,0,0,2,0,0,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,03:26,0-1,0-1,0-0,-1.2,0.0,0,0,0,1,0,0,0,0,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"<a href=""/player/Vitor-Benite/Summary/28619"">Vitor Benite</a>",Starter,SG,24:21,2-6,1-4,2-2,4.8,0.0,2,2,2,3,1,0,0,7,16,"<a href=""/player/Marcos-Delia/Summary/24746"">Marcos Delia</a>",Starter,C,27:34,5-7,0-0,1-1,10.9,2.0,4,6,1,1,1,1,0,11,33,"<a href=""/player/Marko-Lukovic/Summary/26834"">Marko Lukovic</a>",Starter,PF,23:17,3-12,2-9,0-0,0.8,2.0,1,3,1,4,1,1,0,8,-,"<a href=""/player/Brad-Oleson/Summary/29006"">Brad Oleson</a>",Starter,PG,23:01,1-8,1-5,4-4,7.5,1.0,2,3,1,3,3,0,3,7,27,"<a href=""/player/Sadiel-Rojas/Summary/31397"">Sadiel Rojas</a>",Starter,SF,21:34,1-6,1-3,0-0,-1.2,2.0,1,3,0,5,2,2,0,3,13,"<a href=""/player/Vitor-Faverani/Summary/1673"">Vitor Faverani</a>",Bench,C,01:28,0-1,0-0,0-0,-0.8,0.0,0,0,0,0,0,0,0,0,11,"<a href=""/player/Clevin-Hannah/Summary/7555"">Clevin Hannah</a>",Bench,PG,20:31,3-8,2-6,1-1,5.4,0.0,3,3,2,3,2,2,0,9,9,"<a href=""/player/Charlon-Kloof/Summary/28029"">Charlon Kloof</a>",Bench,SG,15:47,3-8,1-3,5-6,3.2,1.0,0,1,2,3,0,3,1,12,5,"<a href=""/player/Alberto-Martin/Summary/27823"">Alberto Martin</a>",Bench,PG,03:42,0-0,0-0,0-0,1.0,0.0,0,0,1,0,0,0,0,0,0,"<a href=""/player/Ovie-Soko/Summary/8162"">Ovie Soko</a>",Bench,SF,10:10,0-6,0-4,0-0,-4.8,0.0,3,3,0,3,1,2,0,0,24,"<a href=""/player/Kevin-Tumba/Summary/43935"">Kevin Tumba</a>",Bench,PF,10:58,0-2,0-0,3-4,7.8,3.0,5,8,0,0,0,1,2,3,3,"<a href=""/player/Alex-Urtasun/Summary/29018"">Alex Urtasun</a>",Bench,SG,17:37,0-6,0-4,0-0,-1.8,1.0,3,4,0,1,0,0,0,0,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,&nbsp;,4,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,29:03,2-4,0-1,2-2,2.8,2.0,2,4,1,4,1,3,0,6,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,PG,26:01,5-8,3-4,0-0,10.8,0.0,3,3,0,1,2,1,1,13,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,26:54,5-9,0-0,3-4,15.5,5.0,3,8,1,3,0,0,4,13,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,SF,24:03,5-11,0-2,2-2,5.5,3.0,2,5,1,4,0,1,0,12,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,30:01,9-18,2-6,0-0,15.5,2.0,4,6,4,2,2,1,0,20,22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,13:59,1-5,0-3,0-0,0.2,0.0,2,2,0,1,2,1,0,2,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,06:30,1-6,0-5,0-0,-0.8,0.0,1,1,1,0,0,0,0,2,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,05:17,0-2,0-1,0-0,-1.8,0.0,1,1,0,2,0,0,0,0,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,18:37,3-7,1-1,2-3,9.4,0.0,1,1,7,2,0,0,0,9,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,19:25,0-5,0-3,2-2,1.2,0.0,1,1,5,2,1,2,0,2,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,3,5,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"<a href=""/player/Eulis-Baez/Summary/13138"">Eulis Baez</a>",Starter,SF,23:02,4-7,1-3,4-4,5.0,1.0,3,4,2,5,0,4,0,13,12,"<a href=""/player/Ondrej-Balvin/Summary/27496"">Ondrej Balvin</a>",Starter,PF,24:59,1-5,0-0,1-2,1.2,0.0,5,5,0,0,1,2,0,3,9,"<a href=""/player/Gal-Mekel/Summary/7577"">Gal Mekel</a>",Starter,PG,20:02,2-6,0-2,4-6,1.2,0.0,2,2,3,3,0,3,0,8,14,"<a href=""/player/Anzejs-Pasecniks/Summary/32736"">Anzejs Pasecniks</a>",Starter,C,21:11,1-6,0-1,2-6,0.5,1.0,3,4,0,2,1,1,1,4,11,"<a href=""/player/DJ-Seeley/Summary/6722"">D.J. Seeley</a>",Starter,SG,27:12,3-7,1-3,0-0,8.0,2.0,3,5,2,0,1,1,0,7,8,"<a href=""/player/Marcus-Eriksson/Summary/26852"">Marcus Eriksson</a>",Bench,PF,12:14,3-4,2-3,1-1,7.1,0.0,2,2,0,0,0,0,0,9,40,"<a href=""/player/Luke-Fischer/Summary/50094"">Luke Fischer</a>",Bench,C,10:48,1-3,0-0,0-0,1.2,1.0,4,5,1,3,0,2,0,2,-,"<a href=""/player/Shaquielle-McKissic/Summary/56821"">Shaquielle McKissic</a>",Bench,SF,19:24,2-4,1-2,0-2,1.0,1.0,1,2,0,2,0,1,0,5,4,"<a href=""/player/Albert-Oliver/Summary/29021"">Albert Oliver</a>",Bench,PG,19:58,2-7,0-2,0-0,3.5,0.0,3,3,5,1,0,2,0,4,21,"<a href=""/player/Oriol-Pauli/Summary/32830"">Oriol Pauli</a>",Bench,PF,13:16,3-4,1-1,1-1,1.9,0.0,1,1,0,1,0,3,0,8,22,"<a href=""/player/Xavi-Rabaseda/Summary/9747"">Xavi Rabaseda</a>",Bench,PF,07:54,1-2,0-0,0-0,0.8,0.0,1,1,0,1,0,1,1,2,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,&nbsp;,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,22:34,3-7,3-3,2-2,10.2,4.0,1,5,1,1,0,0,0,11,9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,C,20:35,3-7,0-2,1-1,0.6,1.0,3,4,0,2,0,3,0,7,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,26:46,6-9,1-2,4-5,19.6,3.0,9,12,1,1,1,0,0,17,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,23:52,3-10,0-4,0-0,0.8,0.0,1,1,3,1,0,1,0,6,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,32:09,4-9,1-4,2-2,2.5,0.0,0,0,3,4,0,2,0,11,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,06:09,0-2,0-1,0-0,-2.5,0.0,0,0,0,2,0,0,0,0,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,19:47,4-7,2-4,0-0,6.2,0.0,2,2,2,4,0,0,0,10,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,16:08,0-3,0-1,2-2,2.8,1.0,3,4,2,1,0,1,0,2,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Bench,C,19:06,3-3,0-0,0-2,4.8,2.0,3,5,0,3,0,1,0,6,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,12:54,2-6,1-4,0-0,-0.5,0.0,0,0,0,2,0,0,0,5,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,4,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"<a href=""/player/Tim-Abromaitis/Summary/6202"">Tim Abromaitis</a>",Starter,PF,23:41,0-4,0-4,0-0,-2.5,0.0,4,4,0,3,1,3,1,0,20,"<a href=""/player/Mateusz-Ponitka/Summary/24344"">Mateusz Ponitka</a>",Starter,SF,30:48,4-6,0-0,7-9,7.9,0.0,3,3,0,3,0,1,1,15,5,"<a href=""/player/Nicolas-Richotti/Summary/39591"">Nicolas Richotti</a>",Starter,SG,22:33,3-8,0-4,6-6,7.0,0.0,1,1,4,3,1,1,0,12,00,"<a href=""/player/Rodrigo-San-Miguel/Summary/29008"">Rodrigo San Miguel</a>",Starter,PG,22:06,2-5,0-2,0-0,7.2,0.0,4,4,4,2,1,0,0,4,13,"<a href=""/player/Mike-Tobey/Summary/42307"">Mike Tobey</a>",Starter,C,23:25,7-10,0-0,0-0,9.8,1.0,5,6,0,3,0,0,0,14,25,"<a href=""/player/Rosco-Allen/Summary/24276"">Rosco Allen</a>",Bench,PF,16:50,2-7,1-2,0-0,1.2,1.0,2,3,0,2,0,0,0,5,-,"<a href=""/player/Pedro-Llompart/Summary/29017"">Pedro Llompart</a>",Bench,PG,18:08,4-7,3-6,1-1,7.4,1.0,0,1,1,0,0,1,0,12,7,"<a href=""/player/Mamadou-Niang/Summary/32921"">Mamadou Niang</a>",Bench,C,05:52,0-0,0-0,0-2,3.2,1.0,2,3,1,1,0,0,1,0,17,"<a href=""/player/Fran-Vazquez/Summary/358"">Fran Vazquez</a>",Bench,C,09:58,0-2,0-0,0-0,-0.5,0.0,2,2,0,1,0,0,0,0,-,"<a href=""/player/Adin-Vrabac/Summary/32814"">Adin Vrabac</a>",Bench,SF,09:15,0-1,0-0,0-0,0.2,0.0,0,0,0,0,1,0,0,0,34,"<a href=""/player/Davin-White/Summary/2041"">Davin White</a>",Bench,PG,17:24,0-3,0-2,2-2,2.5,0.0,0,0,4,1,1,2,1,2,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,1,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,20:24,2-8,1-5,0-0,4.0,3.0,4,7,1,4,2,2,0,5,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,33:10,7-14,0-0,2-2,12.2,3.0,2,5,1,2,0,1,4,16,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,25:14,3-7,0-1,0-0,1.5,1.0,3,4,0,1,0,2,0,6,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,20:58,3-7,3-5,4-4,8.8,3.0,0,3,4,3,0,3,0,13,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,25:43,3-9,1-4,3-3,7.6,1.0,2,3,4,2,1,1,0,10,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,09:36,0-2,0-2,0-0,3.0,0.0,2,2,2,0,1,0,0,0,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,14:32,3-5,2-4,1-2,5.8,0.0,1,1,0,1,1,0,0,9,9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,13:25,2-4,1-1,1-2,-0.2,0.0,0,0,0,3,0,1,0,6,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,10:00,0-1,0-1,0-0,-0.2,0.0,0,0,1,1,0,0,0,0,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,19:02,3-4,2-3,2-2,10.8,0.0,2,2,4,0,1,2,0,10,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,07:56,1-5,1-5,0-0,-1.8,0.0,0,0,0,2,0,0,0,3,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,3,4,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
9,"<a href=""/player/Marcelinho-Huertas/Summary/2707"">Marcelinho Huertas</a>",Starter,PG,25:06,5-7,0-2,6-6,16.5,0.0,2,2,9,3,0,1,0,16,-,"<a href=""/player/Matt-Janning/Summary/11001"">Matt Janning</a>",Starter,SG,27:10,4-9,3-5,4-4,7.2,0.0,2,2,0,0,1,2,0,15,-,"<a href=""/player/Vincent-Poirier/Summary/52578"">Vincent Poirier</a>",Starter,C,21:44,3-6,0-0,4-4,8.8,3.0,3,6,3,3,0,2,0,10,23,"<a href=""/player/Tornike-Shengelia/Summary/24387"">Tornike Shengelia</a>",Starter,PF,31:24,6-14,1-4,5-7,14.1,1.0,7,8,3,2,2,2,1,18,-,"<a href=""/player/Janis-Timma/Summary/24824"">Janis Timma</a>",Starter,SF,18:37,1-3,1-3,1-1,2.9,1.0,0,1,1,3,1,0,0,4,10,"<a href=""/player/Rodrigue-Beaubois/Summary/1627"">Rodrigue Beaubois</a>",Bench,PG,16:05,2-4,0-1,0-0,3.5,0.0,2,2,3,2,1,2,0,4,-,"<a href=""/player/Jayson-Granger/Summary/24591"">Jayson Granger</a>",Bench,PG,15:31,1-4,0-1,2-2,3.2,0.0,0,0,4,2,0,0,0,4,21,"<a href=""/player/Kevin-Jones/Summary/2370"">Kevin Jones</a>",Bench,PF,08:36,1-4,0-1,0-0,0.8,1.0,1,2,0,0,0,0,0,2,8,"<a href=""/player/Rinalds-Malmanis/Summary/27876"">Rinalds Malmanis</a>",Bench,PF,17:26,3-3,2-2,0-0,6.8,0.0,2,2,0,1,0,0,0,8,-,"<a href=""/player/Luca-Vildoza/Summary/40899"">Luca Vildoza</a>",Bench,PG,00:05,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0,7,"<a href=""/player/Johannes-Voigtmann/Summary/25880"">Johannes Voigtmann</a>",Bench,C,18:16,2-3,0-0,0-0,3.2,0.0,2,2,0,2,1,0,0,4,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,3,6,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,30:24,4-9,1-6,0-0,10.2,0.0,8,8,1,0,0,0,1,9,9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,28:37,5-6,1-1,5-7,13.1,1.0,3,4,2,2,2,2,0,16,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,27:35,4-7,2-4,2-4,9.2,0.0,4,4,2,0,3,4,0,12,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,21:57,5-6,0-0,0-0,2.8,1.0,1,2,0,5,0,2,0,10,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,33:24,4-9,2-5,7-7,10.9,0.0,1,1,5,3,0,1,0,17,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,05:00,1-3,1-3,0-0,0.8,0.0,0,0,0,0,0,0,0,3,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,01:36,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,14:16,2-5,0-0,0-2,-1.8,0.0,3,3,0,5,1,2,0,4,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,12:24,1-2,1-2,0-0,0.2,0.0,1,1,2,4,0,2,0,3,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,12:13,1-4,1-3,0-0,0.2,0.0,1,1,0,1,0,0,0,3,16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,02:58,0-1,0-0,0-0,-0.8,0.0,0,0,0,2,0,0,1,0,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,09:36,0-2,0-1,0-0,-1.2,1.0,1,2,0,1,0,1,0,0,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
